barcode	name	calories	protein	carbs	fat	source
0049319110017	5g Shimaya Bonito Flavoured Soup Stock x (50g)	263	21.4	41.5	0.8	nutrition.aggregated_set
0049508001409	Pretzel Crisps - Original	393	6.8	81.2	0	nutrition.aggregated_set
0049568010168	original vegenaise	571	0	0	64.3	nutrition.aggregated_set
0049568010328	Original Vegenaise	571	0	0	64.3	nutrition.aggregated_set
0049733091015	Hot Sauce Original 150ml Cholula	33	0.7	5.3	1	nutrition.aggregated_set
0050000397600	Mini marshmallows hot cocoa mix, rich milk chocolate	400	5	75	10	nutrition.aggregated_set
0050561846326	Fish sauce	107	13.3	13.3	0	nutrition.aggregated_set
0051000222121	Prego sauces alfredo	133	1.7	5	11.7	nutrition.aggregated_set
0051500240946	Peanut Butter (Creamy)	576	21.2	24.2	48.5	nutrition.aggregated_set
0052066001804	Vermicelle Riz Brun 200G	360	8	78	3	nutrition.aggregated_set
0052100084800	Sloppy joes seasoning mix	333	0	66.7	0	nutrition.aggregated_set
0054300090018	Marshmallows classic	324	2	79	0	nutrition.aggregated_set
0054300090506	Marshmallows Mega	324	2	79	0	nutrition.aggregated_set
0054300091510	Mini Rocky Mountain Marshmallow	324	2	79	0	nutrition.aggregated_set
0054300091572	Marshmallows Sour and Fruity (Zitrone und Limette)	323	2	79	0	nutrition.aggregated_set
0055577420270	Gatorade cool blue	24	0	6.1	0	nutrition.aggregated_set
0058449870128	Envirokidz, Organic Panda Puffs Cereal, Peanut Butter	433	6.7	76.7	11.7	nutrition.aggregated_set
0059527551571	Brazil Nut ORGANISCHER RIEGEL MIT OBST UND MÜSSEN	491	14	49	27	nutrition.aggregated_set
0059527801553	Coconut Organischer Riegel mit Nüssen	519	13	47	34	nutrition.aggregated_set
00515764	Saltkringler Pretzels	402	11	70	7.9	nutrition.aggregated_set
0062287170111	A1 Sauce	100	1.3	26.7	0	nutrition.aggregated_set
0062558560009	Sirop d’erable	210	0	53	0	nutrition.aggregated_set
0064144282661	Diced Tomatoes with Habaneros	18	0.8	2.7	0.2	nutrition.aggregated_set
0065204178788	Lion Custard Powder 10.58 Oz	350	0.3	86	0.7	nutrition.aggregated_set
0067714000016	Original weiner chicken	211	13.2	5.3	15.8	nutrition.aggregated_set
0069276112404	Garlic pickle knoblauch-pickles	323	4.1	23.1	21.5	nutrition.aggregated_set
0069276981017	Pappadums	319	21.4	58.1	1.5	nutrition.aggregated_set
00670272	bolognese sauce	122	5.2	5.1	4.7	nutrition.aggregated_set
00672573	Marks & Spencer Scottish All Butter Shortbread Rounds 00672573 Schottische runde Butterkekse	531	5.8	55.3	31.3	nutrition.aggregated_set
